business_date,order_id,item_id,warehouse_id,ship_qty,ship_ts
2025-01-01,ORD_20250101_ITEM_00001,ITEM_00001,WH1,14,2025-01-01 15:10:41.546009
2025-01-01,ORD_20250101_ITEM_00002,ITEM_00002,WH1,13,2025-01-01 16:57:36.464967
2025-01-01,ORD_20250101_ITEM_00003,ITEM_00003,WH1,7,2025-01-01 12:38:47.978028
2025-01-01,ORD_20250101_ITEM_00004,ITEM_00004,WH1,8,2025-01-01 14:17:42.919972
2025-01-01,ORD_20250101_ITEM_00005,ITEM_00005,WH1,27,2025-01-01 12:22:05.952806
2025-01-01,ORD_20250101_ITEM_00006,ITEM_00006,WH1,16,2025-01-01 22:59:50.835840
2025-01-01,ORD_20250101_ITEM_00007,ITEM_00007,WH1,7,2025-01-01 11:01:18.648513
2025-01-01,ORD_20250101_ITEM_00008,ITEM_00008,WH1,3,2025-01-01 19:59:08.575969
2025-01-01,ORD_20250101_ITEM_00009,ITEM_00009,WH1,23,2025-01-01 17:28:06.192440
2025-01-01,ORD_20250101_ITEM_00010,ITEM_00010,WH1,6,2025-01-01 20:22:51.235685
2025-01-01,ORD_20250101_ITEM_00011,ITEM_00011,WH1,2,2025-01-01 17:14:09.995843
2025-01-01,ORD_20250101_ITEM_00012,ITEM_00012,WH1,1,2025-01-01 07:54:48.155516
2025-01-01,ORD_20250101_ITEM_00013,ITEM_00013,WH1,10,2025-01-01 02:50:37.227710
2025-01-01,ORD_20250101_ITEM_00014,ITEM_00014,WH1,10,2025-01-01 06:44:21.361980
2025-01-01,ORD_20250101_ITEM_00016,ITEM_00016,WH1,23,2025-01-01 21:58:04.674315
2025-01-01,ORD_20250101_ITEM_00017,ITEM_00017,WH1,18,2025-01-01 01:35:01.657357
2025-01-01,ORD_20250101_ITEM_00018,ITEM_00018,WH1,17,2025-01-01 05:39:15.433246
2025-01-01,ORD_20250101_ITEM_00019,ITEM_00019,WH1,29,2025-01-01 00:55:35.801713
2025-01-01,ORD_20250101_ITEM_00020,ITEM_00020,WH1,1,2025-01-01 08:05:36.040246
2025-01-01,ORD_20250101_ITEM_00021,ITEM_00021,WH1,20,2025-01-01 03:17:34.939272
2025-01-01,ORD_20250101_ITEM_00022,ITEM_00022,WH1,20,2025-01-01 07:20:26.282531
2025-01-01,ORD_20250101_ITEM_00023,ITEM_00023,WH1,10,2025-01-01 22:19:13.345934
2025-01-01,ORD_20250101_ITEM_00024,ITEM_00024,WH1,31,2025-01-01 17:28:33.327611
2025-01-01,ORD_20250101_ITEM_00025,ITEM_00025,WH1,23,2025-01-01 19:34:47.691242
2025-01-01,ORD_20250101_ITEM_00026,ITEM_00026,WH1,21,2025-01-01 07:42:13.612599
2025-01-01,ORD_20250101_ITEM_00027,ITEM_00027,WH1,35,2025-01-01 18:29:13.288082
2025-01-01,ORD_20250101_ITEM_00028,ITEM_00028,WH1,17,2025-01-01 08:07:34.331684
2025-01-01,ORD_20250101_ITEM_00029,ITEM_00029,WH1,23,2025-01-01 17:24:35.761165
2025-01-01,ORD_20250101_ITEM_00030,ITEM_00030,WH1,9,2025-01-01 15:24:58.180751
2025-01-01,ORD_20250101_ITEM_00031,ITEM_00031,WH1,16,2025-01-01 14:38:38.443896
2025-01-01,ORD_20250101_ITEM_00032,ITEM_00032,WH1,16,2025-01-01 04:11:49.559812
2025-01-01,ORD_20250101_ITEM_00033,ITEM_00033,WH1,35,2025-01-01 16:05:04.832167
2025-01-01,ORD_20250101_ITEM_00034,ITEM_00034,WH1,7,2025-01-01 08:13:58.219828
2025-01-01,ORD_20250101_ITEM_00035,ITEM_00035,WH1,15,2025-01-01 06:52:20.501143
2025-01-01,ORD_20250101_ITEM_00036,ITEM_00036,WH1,33,2025-01-01 18:01:04.193227
2025-01-01,ORD_20250101_ITEM_00038,ITEM_00038,WH1,6,2025-01-01 21:52:33.394200
2025-01-01,ORD_20250101_ITEM_00039,ITEM_00039,WH1,26,2025-01-01 11:33:56.856741
2025-01-01,ORD_20250101_ITEM_00040,ITEM_00040,WH1,17,2025-01-01 14:25:10.017659
