business_date,asn_id,item_id,warehouse_id,received_qty,receipt_ts
2025-01-01,ASN_20250101_ITEM_00001,ITEM_00001,WH1,8,2025-01-01 08:04:51.108234
2025-01-01,ASN_20250101_ITEM_00002,ITEM_00002,WH1,29,2025-01-01 18:17:42.574174
2025-01-01,ASN_20250101_ITEM_00003,ITEM_00003,WH1,28,2025-01-01 19:01:00.654501
2025-01-01,ASN_20250101_ITEM_00004,ITEM_00004,WH1,12,2025-01-01 13:52:07.962950
2025-01-01,ASN_20250101_ITEM_00005,ITEM_00005,WH1,23,2025-01-01 05:53:36.234052
2025-01-01,ASN_20250101_ITEM_00006,ITEM_00006,WH1,29,2025-01-01 07:13:03.846061
2025-01-01,ASN_20250101_ITEM_00007,ITEM_00007,WH1,17,2025-01-01 20:19:57.766596
2025-01-01,ASN_20250101_ITEM_00008,ITEM_00008,WH1,30,2025-01-01 01:53:00.075294
2025-01-01,ASN_20250101_ITEM_00009,ITEM_00009,WH1,35,2025-01-01 13:58:56.732207
2025-01-01,ASN_20250101_ITEM_00010,ITEM_00010,WH1,29,2025-01-01 00:08:21.263609
2025-01-01,ASN_20250101_ITEM_00011,ITEM_00011,WH1,20,2025-01-01 06:26:40.535659
2025-01-01,ASN_20250101_ITEM_00012,ITEM_00012,WH1,26,2025-01-01 10:37:45.036459
2025-01-01,ASN_20250101_ITEM_00013,ITEM_00013,WH1,11,2025-01-01 18:09:32.780445
2025-01-01,ASN_20250101_ITEM_00014,ITEM_00014,WH1,39,2025-01-01 12:56:01.094377
2025-01-01,ASN_20250101_ITEM_00015,ITEM_00015,WH1,1,2025-01-01 03:04:58.256002
2025-01-01,ASN_20250101_ITEM_00016,ITEM_00016,WH1,5,2025-01-01 05:43:12.619048
2025-01-01,ASN_20250101_ITEM_00017,ITEM_00017,WH1,16,2025-01-01 10:46:40.654855
2025-01-01,ASN_20250101_ITEM_00018,ITEM_00018,WH1,17,2025-01-01 06:11:37.370978
2025-01-01,ASN_20250101_ITEM_00019,ITEM_00019,WH1,14,2025-01-01 04:31:13.411646
2025-01-01,ASN_20250101_ITEM_00020,ITEM_00020,WH1,5,2025-01-01 19:32:07.725581
2025-01-01,ASN_20250101_ITEM_00021,ITEM_00021,WH1,30,2025-01-01 09:22:56.263528
2025-01-01,ASN_20250101_ITEM_00022,ITEM_00022,WH1,24,2025-01-01 06:17:46.904801
2025-01-01,ASN_20250101_ITEM_00023,ITEM_00023,WH1,37,2025-01-01 02:25:03.057658
2025-01-01,ASN_20250101_ITEM_00024,ITEM_00024,WH1,27,2025-01-01 02:38:09.426153
2025-01-01,ASN_20250101_ITEM_00025,ITEM_00025,WH1,10,2025-01-01 00:38:17.634586
2025-01-01,ASN_20250101_ITEM_00026,ITEM_00026,WH1,22,2025-01-01 20:27:14.305830
2025-01-01,ASN_20250101_ITEM_00027,ITEM_00027,WH1,5,2025-01-01 15:33:45.026736
2025-01-01,ASN_20250101_ITEM_00028,ITEM_00028,WH1,17,2025-01-01 15:00:24.599812
2025-01-01,ASN_20250101_ITEM_00029,ITEM_00029,WH1,27,2025-01-01 13:49:15.182800
2025-01-01,ASN_20250101_ITEM_00030,ITEM_00030,WH1,16,2025-01-01 06:25:00.231112
2025-01-01,ASN_20250101_ITEM_00031,ITEM_00031,WH1,5,2025-01-01 20:48:19.575019
2025-01-01,ASN_20250101_ITEM_00032,ITEM_00032,WH1,18,2025-01-01 00:06:40.804669
2025-01-01,ASN_20250101_ITEM_00033,ITEM_00033,WH1,37,2025-01-01 21:47:38.517365
2025-01-01,ASN_20250101_ITEM_00034,ITEM_00034,WH1,35,2025-01-01 15:20:26.210362
2025-01-01,ASN_20250101_ITEM_00035,ITEM_00035,WH1,9,2025-01-01 05:32:10.406792
2025-01-01,ASN_20250101_ITEM_00036,ITEM_00036,WH1,21,2025-01-01 20:17:36.055946
2025-01-01,ASN_20250101_ITEM_00037,ITEM_00037,WH1,4,2025-01-01 05:56:30.470832
2025-01-01,ASN_20250101_ITEM_00038,ITEM_00038,WH1,5,2025-01-01 05:44:29.678190
2025-01-01,ASN_20250101_ITEM_00039,ITEM_00039,WH1,3,2025-01-01 11:32:35.166029
2025-01-01,ASN_20250101_ITEM_00040,ITEM_00040,WH1,38,2025-01-01 16:57:38.416933
2025-01-01,ASN_20250101_ITEM_00041,ITEM_00041,WH1,25,2025-01-01 00:28:13.220465
2025-01-01,ASN_20250101_ITEM_00042,ITEM_00042,WH1,24,2025-01-01 20:52:39.588008
2025-01-01,ASN_20250101_ITEM_00043,ITEM_00043,WH1,30,2025-01-01 06:05:11.892077
2025-01-01,ASN_20250101_ITEM_00044,ITEM_00044,WH1,14,2025-01-01 06:28:32.440495
2025-01-01,ASN_20250101_ITEM_00045,ITEM_00045,WH1,34,2025-01-01 11:56:07.381224
2025-01-01,ASN_20250101_ITEM_00047,ITEM_00047,WH1,34,2025-01-01 15:42:02.928669
2025-01-01,ASN_20250101_ITEM_00048,ITEM_00048,WH1,20,2025-01-01 18:38:26.286119
2025-01-01,ASN_20250101_ITEM_00049,ITEM_00049,WH1,32,2025-01-01 15:07:45.820915
2025-01-01,ASN_20250101_ITEM_00050,ITEM_00050,WH1,40,2025-01-01 04:11:00.358198
2025-01-01,ASN_20250101_ITEM_00051,ITEM_00051,WH1,16,2025-01-01 02:28:18.797968
2025-01-01,ASN_20250101_ITEM_00052,ITEM_00052,WH1,33,2025-01-01 07:00:41.970070
2025-01-01,ASN_20250101_ITEM_00053,ITEM_00053,WH1,4,2025-01-01 11:23:06.379004
2025-01-01,ASN_20250101_ITEM_00054,ITEM_00054,WH1,8,2025-01-01 04:57:08.817613
2025-01-01,ASN_20250101_ITEM_00055,ITEM_00055,WH1,20,2025-01-01 12:37:39.864200
2025-01-01,ASN_20250101_ITEM_00056,ITEM_00056,WH1,22,2025-01-01 22:32:21.071103
2025-01-01,ASN_20250101_ITEM_00057,ITEM_00057,WH1,23,2025-01-01 14:13:00.753333
2025-01-01,ASN_20250101_ITEM_00058,ITEM_00058,WH1,18,2025-01-01 00:32:04.394754
2025-01-01,ASN_20250101_ITEM_00059,ITEM_00059,WH1,21,2025-01-01 00:22:40.126126
2025-01-01,ASN_20250101_ITEM_00060,ITEM_00060,WH1,26,2025-01-01 19:10:40.818740
2025-01-01,ASN_20250101_ITEM_00061,ITEM_00061,WH1,33,2025-01-01 13:25:44.662516
2025-01-01,ASN_20250101_ITEM_00062,ITEM_00062,WH1,9,2025-01-01 08:20:34.171405
