snapshot_date,item_id,warehouse_id,location_id,lpn_id,quantity_on_hand,last_updated_ts,anomaly_type
2025-01-01,ITEM_00001,WH1,LOC_0026,LPN_EOD_0001_0,965,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00001,WH1,LOC_0031,LPN_EOD_0001_1,1046,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00001,WH1,LOC_0073,LPN_EOD_0001_2,1033,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00001,WH1,LOC_0057,LPN_EOD_0001_3,1033,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00002,WH1,LOC_0055,LPN_EOD_0002_0,1375,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00002,WH1,LOC_0061,LPN_EOD_0002_1,1331,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00002,WH1,LOC_0008,LPN_EOD_0002_2,1367,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00003,WH1,LOC_0057,LPN_EOD_0003_0,4369,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00004,WH1,LOC_0099,LPN_EOD_0004_0,1581,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00004,WH1,LOC_0029,LPN_EOD_0004_1,1607,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00004,WH1,LOC_0043,LPN_EOD_0004_2,1629,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00005,WH1,LOC_0085,LPN_EOD_0005_0,864,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00005,WH1,LOC_0087,LPN_EOD_0005_1,887,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00005,WH1,LOC_0002,LPN_EOD_0005_2,836,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00006,WH1,LOC_0050,LPN_EOD_0006_0,845,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00006,WH1,LOC_0027,LPN_EOD_0006_1,781,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00006,WH1,LOC_0003,LPN_EOD_0006_2,751,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00006,WH1,LOC_0027,LPN_EOD_0006_3,777,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00007,WH1,LOC_0113,LPN_EOD_0007_0,1706,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00007,WH1,LOC_0062,LPN_EOD_0007_1,1699,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00008,WH1,LOC_0069,LPN_EOD_0008_0,1517,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00008,WH1,LOC_0080,LPN_EOD_0008_1,1547,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00009,WH1,LOC_0106,LPN_EOD_0009_0,1602,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00009,WH1,LOC_0002,LPN_EOD_0009_1,1663,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00010,WH1,LOC_0082,LPN_EOD_0010_0,860,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00010,WH1,LOC_0055,LPN_EOD_0010_1,818,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00010,WH1,LOC_0118,LPN_EOD_0010_2,885,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00010,WH1,LOC_0028,LPN_EOD_0010_3,878,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00011,WH1,LOC_0102,LPN_EOD_0011_0,4786,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00012,WH1,LOC_0104,LPN_EOD_0012_0,1118,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00012,WH1,LOC_0036,LPN_EOD_0012_1,1150,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00012,WH1,LOC_0053,LPN_EOD_0012_2,1110,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00012,WH1,LOC_0099,LPN_EOD_0012_3,1107,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00013,WH1,LOC_0074,LPN_EOD_0013_0,2660,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00013,WH1,LOC_0017,LPN_EOD_0013_1,2694,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00014,WH1,LOC_0082,LPN_EOD_0014_0,3945,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00015,WH1,LOC_0067,LPN_EOD_0015_0,1941,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00015,WH1,LOC_0005,LPN_EOD_0015_1,1871,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00016,WH1,LOC_0096,LPN_EOD_0016_0,3188,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00017,WH1,LOC_0046,LPN_EOD_0017_0,1383,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00017,WH1,LOC_0072,LPN_EOD_0017_1,1320,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00017,WH1,LOC_0093,LPN_EOD_0017_2,1425,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00018,WH1,LOC_0012,LPN_EOD_0018_0,990,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00018,WH1,LOC_0022,LPN_EOD_0018_1,948,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00018,WH1,LOC_0059,LPN_EOD_0018_2,973,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00018,WH1,LOC_0060,LPN_EOD_0018_3,863,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00019,WH1,LOC_0118,LPN_EOD_0019_0,1771,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00019,WH1,LOC_0055,LPN_EOD_0019_1,1807,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00020,WH1,LOC_0114,LPN_EOD_0020_0,804,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00020,WH1,LOC_0089,LPN_EOD_0020_1,837,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00020,WH1,LOC_0056,LPN_EOD_0020_2,796,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00020,WH1,LOC_0114,LPN_EOD_0020_3,757,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00021,WH1,LOC_0015,LPN_EOD_0021_0,760,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00021,WH1,LOC_0037,LPN_EOD_0021_1,724,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00021,WH1,LOC_0018,LPN_EOD_0021_2,778,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00021,WH1,LOC_0060,LPN_EOD_0021_3,792,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00021,WH1,LOC_0044,LPN_EOD_0021_4,725,2025-01-01 23:59:59,NONE
2025-01-01,ITEM_00022,WH1,LOC_0093,LPN_EOD_0022_0,854,2025-01-01 23:59:59,NONE
